Team,Year1,Year2
CHW,0.363144117,-0.014276257
CIN,0.347736185,-0.188451381
CLE,0.231434469,0.125588475
COL,0.411391968,0.115436036
DET,-0.013517068,-0.120550468
HOU,0.02413628,0.24947378
KCR,0.309295754,-0.056711464
LAD,0.234547274,0.073406957
MIL,-0.070443688,0.079223392
MIN,-0.16684492,-0.002915748
NYM,0.267013228,-0.140127931
NYY,0.083497181,0.201675703
OAK,0.31997075,0.604856361
PHI,-0.23700565,0.181794792
PIT,-0.106465072,-0.413385701
SDP,-0.012552213,0.154938283
SEA,0.272196308,0.714926475
SFG,0.352386121,-0.123193765
STL,0.285680027,0.629736196
TEX,-0.075643621,-0.100023215
TOR,-0.176665541,0.166245059
ATL,0.359673769,0.654039798
BAL,-0.083232811,-0.127486709
BOS,0.15045728,0.43282537
CHC,0.281230895,-0.207685302
CHW,-0.014276257,0.14469878
CIN,-0.188451381,-0.182161431
CLE,0.125588475,-0.125782686
COL,0.115436036,0.008645319
DET,-0.120550468,-0.658586957
HOU,0.24947378,0.28128824
KCR,-0.056711464,-0.097157311
LAD,0.073406957,0.426393636
MIL,0.079223392,-0.346065307
MIN,-0.002915748,0.194639513
NYM,-0.140127931,0.250221617
NYY,0.201675703,0.330657428
OAK,0.604856361,0.31391055
PHI,0.181794792,-0.29531943
PIT,-0.413385701,-0.013083153
SDP,0.154938283,-0.141601023
SEA,0.714926475,0.270345843
SFG,-0.123193765,0.283460633
STL,0.629736196,0.512490784
TEX,-0.100023215,0.039529216
TOR,0.166245059,0.13424069
ATL,0.654039798,0.317886409
BAL,-0.127486709,0.190485179
BOS,0.43282537,0.084998502
CHC,-0.207685302,0.121743122
CHW,0.14469878,0.071418847
CIN,-0.182161431,-0.246677422
CLE,-0.125782686,-0.051537084
COL,0.008645319,0.083800777
DET,-0.658586957,-0.712625445
HOU,0.28128824,0.451843629
KCR,-0.097157311,0.196650994
LAD,0.426393636,0.195021683
MIL,-0.346065307,-0.302102284
MIN,0.194639513,0.094377411
NYM,0.250221617,0.142880752
NYY,0.330657428,0.167131154
OAK,0.31391055,0.369386664
PHI,-0.29531943,0.343335262
PIT,-0.013083153,-0.133503439
SDP,-0.141601023,-0.264996858
SEA,0.270345843,0.471956794
SFG,0.283460633,0.390190787
STL,0.512490784,0.308127395
TEX,0.039529216,-0.291174097
TOR,0.13424069,0.27360504
ATL,0.317886409,0.469599406
BAL,0.190485179,0.070457602
BOS,0.084998502,0.241460309
CHC,0.121743122,0.409194088
CHW,0.071418847,0.21005683
CIN,-0.246677422,-0.218021316
CLE,-0.051537084,0.107094189
COL,0.083800777,0.028831034
DET,-0.712625445,-0.039503544
HOU,0.451843629,0.450861205
KCR,0.196650994,-0.08662523
LAD,0.195021683,0.27478464
MIL,-0.302102284,-0.510765974
MIN,0.094377411,0.08951049
NYM,0.142880752,-0.093621251
NYY,0.167131154,0.067451185
OAK,0.369386664,0.041258927
PHI,0.343335262,0.213866533
PIT,-0.133503439,0.002514231
SDP,-0.264996858,0.375038785
SEA,0.471956794,-0.211564372
SFG,0.390190787,0.200809778
STL,0.308127395,0.47987115
TEX,-0.291174097,0.301458614
TOR,0.27360504,-0.108240654
ATL,0.469599406,0.382526924
BAL,0.070457602,-0.206119684
BOS,0.241460309,0.261634018
CHC,0.409194088,-0.067493854
CHW,0.21005683,0.47284311
CIN,-0.218021316,-0.050363522
CLE,0.107094189,0.288268465
COL,0.028831034,0.006988775
DET,-0.039503544,-0.175753645
HOU,0.450861205,0.298352988
KCR,-0.08662523,-0.243790765
LAD,0.27478464,-0.040904916
MIL,-0.510765974,0.225132504
MIN,0.08951049,0.095139816
NYM,-0.093621251,0.273024178
NYY,0.067451185,0.116550367
OAK,0.041258927,0.48877506
PHI,0.213866533,0.234523334
PIT,0.002514231,-0.119069839
SDP,0.375038785,-0.087368904
SEA,-0.211564372,0.071046902
SFG,0.200809778,-0.110240845
STL,0.47987115,0.593522347
TEX,0.301458614,-0.136971314
TOR,-0.108240654,0.487348433
ATL,0.382526924,0.297482607
BAL,-0.206119684,-0.235556869
BOS,0.261634018,-0.018883962
CHC,-0.067493854,-0.103710328
CHW,0.47284311,0.201975647
CIN,-0.050363522,-0.201775484
CLE,0.288268465,0.233747832
COL,0.006988775,0.157350687
DET,-0.175753645,0.548364423
HOU,0.298352988,0.124358283
KCR,-0.243790765,-0.215160391
LAD,-0.040904916,0.189511546
MIL,0.225132504,-0.223333717
MIN,0.095139816,0.419991117
NYM,0.273024178,0.227719329
NYY,0.116550367,0.196248475
OAK,0.48877506,0.288158968
PHI,0.234523334,0.221717589
PIT,-0.119069839,-0.068024629
SDP,-0.087368904,0.198360428
SEA,0.071046902,0.054172679
SFG,-0.110240845,-0.039668103
STL,0.593522347,0.238855226
TEX,-0.136971314,0.145609801
TOR,0.487348433,0.101438394
ATL,0.297482607,0.298288784
BAL,-0.235556869,-0.264976959
BOS,-0.018883962,0.454735534
CHC,-0.103710328,0.323234659
CHW,0.201975647,-0.310465458
CIN,-0.201775484,-0.155310908
CLE,0.233747832,0.265251934
COL,0.157350687,0.265226729
DET,0.548364423,0.289266825
HOU,0.124358283,-0.01426508
KCR,-0.215160391,0.226290263
LAD,0.189511546,-0.014114477
MIL,-0.223333717,-0.00511281
MIN,0.419991117,0.176127173
NYM,0.227719329,0.091353234
NYY,0.196248475,0.445484593
OAK,0.288158968,-0.169089763
PHI,0.221717589,0.121809507
PIT,-0.068024629,-0.11872249
SDP,0.198360428,0.311971891
SEA,0.054172679,0.135515133
SFG,-0.039668103,0.031145274
STL,0.238855226,-0.150902209
TEX,0.145609801,0.147436344
TOR,0.101438394,0.19105837
ATL,0.298288784,0.006634985
BAL,-0.264976959,-0.004710415
BOS,0.454735534,0.221064748
CHC,0.323234659,0.547940143
CHW,-0.310465458,0.264147465
CIN,-0.155310908,-0.001647727
CLE,0.265251934,0.092462517
COL,0.265226729,-0.237372849
DET,0.289266825,-0.032919413
HOU,-0.01426508,0.105040301
KCR,0.226290263,-0.10862544
LAD,-0.014114477,0.087583774
MIL,-0.00511281,0.129317852
MIN,0.176127173,0.489238267
NYM,0.091353234,0.244328137
NYY,0.445484593,0.077902312
OAK,-0.169089763,-0.075021313
PHI,0.121809507,0.436795995
PIT,-0.11872249,-0.00308585
SDP,0.311971891,-0.33935455
SEA,0.135515133,-0.08385629
SFG,0.031145274,-0.153489377
STL,-0.150902209,0.211075207
TEX,0.147436344,-0.170837413
TOR,0.19105837,0.472718924
ATL,0.006634985,0.43678139
BAL,-0.004710415,-0.030184127
BOS,0.221064748,0.435692561
CHC,0.547940143,0.139601014
CHW,0.264147465,0.065392627
CIN,-0.001647727,0.038030823
CLE,0.092462517,-0.154282168
COL,-0.237372849,0.193208781
DET,-0.032919413,0.128949389
HOU,0.105040301,-0.211940781
KCR,-0.10862544,-0.36073004
LAD,0.087583774,0.51827605
MIL,0.129317852,0.158145547
MIN,0.489238267,0.241316469
NYM,0.244328137,-0.123627071
NYY,0.077902312,0.187520954
OAK,-0.075021313,0.138516514
PHI,0.436795995,0.352788194
PIT,-0.00308585,-0.203346108
SDP,-0.33935455,-0.431617416
SEA,-0.08385629,-0.207749277
SFG,-0.153489377,0.479770917
STL,0.211075207,0.243214897
TEX,-0.170837413,0.134942085
TOR,0.472718924,0.098071053
ATL,0.43678139,0.360332355
BAL,-0.030184127,-0.37549693
BOS,0.435692561,0.126735153
CHC,0.139601014,-0.078373414
CHW,0.065392627,0.148210832
CIN,0.038030823,0.245698974
CLE,-0.154282168,-0.183630031
COL,0.193208781,0.030931551
DET,0.128949389,-0.042224544
HOU,-0.211940781,-0.052278866
KCR,-0.36073004,-0.368343195
LAD,0.51827605,-0.013493253
MIL,0.158145547,-0.174348259
MIN,0.241316469,0.414936714
NYM,-0.123627071,0.221803457
NYY,0.187520954,0.423026204
OAK,0.138516514,0.16218033
PHI,0.352788194,0.493531412
PIT,-0.203346108,-0.595626566
SDP,-0.431617416,0.500045294
SEA,-0.207749277,-0.721834034
SFG,0.479770917,0.677746579
STL,0.243214897,0.389456013
TEX,0.134942085,0.429477185
TOR,0.098071053,-0.047485627
ATL,0.360332355,0.261022937
BAL,-0.37549693,-0.21662725
BOS,0.126735153,0.210927699
CHC,-0.078373414,-0.180585894
CHW,0.148210832,-0.120777781
CIN,0.245698974,0.155385488
CLE,-0.183630031,-0.056489234
COL,0.030931551,-0.069846543
DET,-0.042224544,0.179752912
HOU,-0.052278866,-0.277973199
KCR,-0.368343195,0.04798116
LAD,-0.013493253,0.20681606
MIL,-0.174348259,0.218759647
MIN,0.414936714,-0.224710454
NYM,0.221803457,0.055117164
NYY,0.423026204,0.70612462
OAK,0.16218033,0.020145905
PHI,0.493531412,0.811695835
PIT,-0.595626566,0.035011052
SDP,0.500045294,0.124717448
SEA,-0.721834034,-0.369016787
SFG,0.677746579,0.033139076
STL,0.389456013,0.230428747
TEX,0.429477185,0.309190011
TOR,-0.047485627,0.099350398
ATL,0.261022937,0.44047619
BAL,-0.21662725,0.085524743
BOS,0.210927699,-0.050790732
CHC,-0.180585894,-0.157363406
CHW,-0.120777781,0.366966744
CIN,0.155385488,0.357981758
CLE,-0.056489234,-0.434032096
COL,-0.069846543,-0.095443361
DET,0.179752912,0.198511574
HOU,-0.277973199,-0.513415367
KCR,0.04798116,-0.01115218
LAD,0.20681606,0.307931599
MIL,0.218759647,0.103456702
MIN,-0.224710454,-0.241944886
NYM,0.055117164,-0.139615927
NYY,0.70612462,0.387151071
OAK,0.020145905,0.340205856
PHI,0.811695835,-0.000705194
PIT,0.035011052,0.176904283
SDP,0.124717448,-0.101858463
SEA,-0.369016787,0.092170862
SFG,0.033139076,0.486435098
STL,0.230428747,0.285330428
TEX,0.309190011,0.256541726
TOR,0.099350398,0.037224946
ATL,0.44047619,0.594932949
BAL,0.085524743,0.254293314
BOS,-0.050790732,0.535141395
CHC,-0.157363406,-0.255715105
CHW,0.366966744,-0.254476656
CIN,0.357981758,0.488638409
CLE,-0.434032096,0.330627142
COL,-0.095443361,-0.092075444
DET,0.198511574,0.465589164
HOU,-0.513415367,-0.334979122
KCR,-0.01115218,0.367417473
LAD,0.307931599,0.068432005
MIL,0.103456702,-0.187277111
MIN,-0.241944886,-0.556151722
NYM,-0.139615927,-0.181442432
NYY,0.387151071,0.182150636
OAK,0.340205856,0.407947849
PHI,-0.000705194,-0.258053361
PIT,0.176904283,0.053772641
SDP,-0.101858463,-0.219514563
SEA,0.092170862,-0.441810345
SFG,0.486435098,-0.155984622
STL,0.285330428,0.782669907
TEX,0.256541726,0.350473852
TOR,0.037224946,0.008226324
